?# Francais
Home;Acceuil
executer;Fiche de travaux a executer
date_edit;Date d 'édition
workcard;Fiche de travaux
sheetcontrol;Fiche des controles
datecommision;Date mise en service
datemenufacture;Date de fabrication
identifiant;Identifiant
frequence_maintenance_Date;Frequence Maintenance Date
frequence_maintenance;Frequence maintenance
price_equipment;Prix équipements

+++++++++++++++++++++++++++++++++++++++
			MAINTERNANCE
+++++++++++++++++++++++++++++++++++++++
//maintenance;Maintenance line 181
//Reference line 166
*** Reference form **
orderby;Ordre
code;Code
label;Label
description;Description
noTypeEquipement;Type Equipement
category;Catégories
modify;Modifier

+++++++++++++++++++++++++++++++++++++++++++++
		Messages alert of Mainternace
+++++++++++++++++++++++++++++++++++++++++++++
c_equipment;Nom de la Machine Catégorie est nécessaire!
c_maintenance_name;Nom Maintenance Catégorie est nécessaire!
M_name;Nom de maintenance est nécessaire!
